epoch,accuracy,auc,loss,val_accuracy,val_auc,val_loss
0,0.776875,0.6134441,0.5426318278163671,0.8275,0.75079024,0.4886608186364174
1,0.8492187,0.7367122,0.4586303525045514,0.85,0.7941884,0.4476024091243744
2,0.8578125,0.78932333,0.4378867409750819,0.84875,0.79544926,0.4436328741908073
3,0.85796875,0.8132229,0.4296702128648758,0.85125,0.7932085,0.4465051394701004
4,0.8671875,0.82849723,0.4209563313052058,0.855,0.81211704,0.44510936096310616
5,0.86578125,0.8340101,0.4190872113034129,0.851875,0.8120328,0.4376747265458107
6,0.86765623,0.8376839,0.41636613696813585,0.850625,0.79510266,0.451866447776556
7,0.871875,0.8545155,0.4079778729379177,0.845625,0.80297303,0.4453268375992775
8,0.87171876,0.850751,0.4106301061064005,0.851875,0.81390136,0.44329388335347175
9,0.87390625,0.86546355,0.40276987221091987,0.85375,0.8104097,0.43766640067100526
10,0.87890625,0.8579366,0.4046712813153863,0.855625,0.8261105,0.4315295407176018
11,0.874375,0.85902727,0.4045672209560871,0.85,0.8151978,0.4391696670651436
12,0.87375,0.8638821,0.40345830786973236,0.85125,0.80099905,0.46095471501350405
13,0.8803125,0.8787328,0.3945425004139543,0.85375,0.8270704,0.43110544547438623
14,0.8815625,0.88190234,0.39212836254388095,0.855625,0.83155763,0.4332178317010403
15,0.8790625,0.87979174,0.39375955529510975,0.848125,0.8347596,0.4273645089566708
16,0.8828125,0.87476444,0.3950594925507903,0.85125,0.83007705,0.4544669052958488
17,0.879375,0.8799011,0.3935089701041579,0.849375,0.8172175,0.44833642199635504
18,0.87875,0.8827477,0.39189607322216036,0.849375,0.83125514,0.4493240113556385
19,0.881875,0.8825147,0.3913356605544686,0.854375,0.8279833,0.4330770239233971
20,0.88453126,0.8888932,0.388125129006803,0.836875,0.82544017,0.4414918008446693
21,0.88625,0.8976782,0.38255626142024995,0.850625,0.81511223,0.43806999683380127
22,0.8798438,0.88997936,0.3887204184755683,0.849375,0.8125848,0.43793084770441054
23,0.88421875,0.895558,0.38307214427739383,0.85125,0.832014,0.4290511780977249
24,0.889375,0.8959564,0.38226895570755004,0.84625,0.80148387,0.4409083732962608
25,0.88859373,0.9012985,0.37982601236552,0.850625,0.81437916,0.4440365609526634
26,0.89125,0.9016397,0.37915958851575854,0.841875,0.8222081,0.43534021139144896
27,0.88859373,0.90181637,0.37876164689660075,0.8575,0.8333804,0.4341457076370716
28,0.88953125,0.9023962,0.3790558620914817,0.84875,0.8307047,0.4300339075922966
29,0.891875,0.8985618,0.380419832803309,0.85375,0.8228057,0.43175345316529273
30,0.89171875,0.9058254,0.37720048896968367,0.849375,0.83024114,0.43144044518470764
31,0.8896875,0.9056016,0.37664265632629396,0.855,0.81936127,0.4357120703160763
0,0.91322315,0.95736855,0.31327115633018,0.848125,0.8390329,0.4621280698478222
1,0.91422826,0.957081,0.2950179376139129,0.84625,0.8412122,0.45615455955266954
2,0.91735536,0.9560837,0.2928931577838849,0.854375,0.8402681,0.4310860411822796
3,0.91199464,0.95625675,0.2909761411032827,0.851875,0.8242135,0.44497925907373426
4,0.90998435,0.95457643,0.2931975003915198,0.856875,0.837829,0.43567582726478576
5,0.9115479,0.95264757,0.2934998684305417,0.85,0.8224692,0.4481020744144917
6,0.9145633,0.95685846,0.2901783251512096,0.85,0.83528024,0.42696340769529345
7,0.9123297,0.9536025,0.29195049510940474,0.85375,0.83453286,0.4297901940345764
8,0.914675,0.95598227,0.29085858738366477,0.8525,0.82878476,0.43665052831172946
9,0.9137815,0.9560351,0.28925073845114374,0.851875,0.82024544,0.43974338442087174
10,0.9157918,0.95579404,0.2892579166170793,0.855,0.819143,0.44183087572455404
11,0.9136699,0.9568698,0.2876154522571496,0.853125,0.8279861,0.44756181463599204
12,0.91333485,0.957923,0.28878540315544443,0.860625,0.8149967,0.4398097367584705
13,0.919589,0.95914686,0.28678646154480375,0.85375,0.82882476,0.44688963174819946
14,0.916797,0.9563256,0.2886650495053083,0.855,0.8332391,0.4312497383356094
15,0.916797,0.95660955,0.28638808329056914,0.845625,0.84048486,0.43665714755654333
16,0.9165736,0.95843816,0.28640152094937715,0.854375,0.8363428,0.43160590544342997
17,0.9184722,0.9610682,0.2843292243171276,0.851875,0.832576,0.4318521584570408
18,0.91646194,0.9579464,0.2867488694431954,0.856875,0.8346784,0.43687802612781523
19,0.9189189,0.9596948,0.2850160049305767,0.854375,0.8216718,0.4412375240027904
20,0.91813713,0.96165687,0.28394711825073843,0.85125,0.83315074,0.4356592792272568
21,0.91836053,0.96170366,0.2840538513175819,0.85125,0.8457849,0.426795254945755
22,0.92159927,0.9639812,0.28176215983992153,0.8475,0.83406645,0.4464790412783623
23,0.92070585,0.9643817,0.28220178350649805,0.85375,0.8216505,0.45574047803878787
24,0.92260444,0.9646484,0.2807272406948553,0.85625,0.8038573,0.4477618759870529
25,0.92472637,0.9659449,0.27991830951831476,0.85125,0.84236324,0.42453024566173553
26,0.919589,0.9652504,0.28024648702088706,0.8575,0.831288,0.427915011048317
27,0.92360955,0.9685703,0.278093323687344,0.85625,0.8221111,0.4391637669503689
28,0.92494977,0.9694994,0.2763967531079396,0.85125,0.83218944,0.4386934345960617
29,0.92561984,0.9710892,0.2757748371459875,0.85,0.8216433,0.44087951749563214
30,0.9259549,0.9714107,0.2750036627859683,0.856875,0.824329,0.443122416138649
31,0.9265133,0.9727134,0.2742672684351355,0.8525,0.8324447,0.4466649466753006
0,0.92550814,0.9715681,0.27547197409019103,0.855625,0.84518874,0.4238826784491539
1,0.9260666,0.97243387,0.27450191669094526,0.855,0.84520596,0.4246545559167862
